frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
16,2
17,2
17,3
18,3
19,3
20,3
21,3
22,3
22,4
23,4
24,4
25,4
26,4
27,4
28,4
28,5
29,5
30,5
31,5
32,5
33,5
34,5
34,0
35,0
36,0
37,0
38,0
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
49,2
50,2
50,3
51,3
52,3
53,3
54,3
55,3
55,4
56,4
57,4
58,4
59,4
60,4
60,5
61,5
62,5
63,5
64,5
65,5
66,5
67,5
67,0
68,0
69,0
70,0
71,0
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
81,2
82,2
83,2
83,3
84,3
85,3
86,3
87,3
87,4
88,4
89,4
90,4
91,4
92,4
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
99,0
100,0
101,0
102,0
103,0
104,0
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
114,2
115,2
115,3
116,3
117,3
118,3
119,3
120,3
121,3
121,4
122,4
123,4
124,4
125,4
126,4
127,-1
