frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
44,2
45,2
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
52,4
53,4
54,4
55,4
56,4
57,4
58,4
65,0
66,0
67,0
68,0
69,0
70,0
71,0
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
83,2
83,3
84,3
85,3
86,3
87,3
88,3
88,4
89,4
90,4
91,4
92,4
93,4
94,4
99,0
100,0
101,0
102,0
103,0
104,0
105,0
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
117,2
117,3
118,3
119,3
120,3
121,3
122,3
123,3
123,4
124,4
125,4
126,4
127,4
128,4
129,-1
