frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
21,3
22,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
31,4
32,4
33,4
34,4
35,4
36,4
37,4
37,5
38,5
39,5
40,5
41,5
42,5
43,5
44,5
45,5
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
52,1
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
65,2
65,3
66,3
67,3
68,3
69,3
70,3
71,3
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
78,5
79,5
80,5
81,5
82,5
83,5
83,0
84,0
85,0
86,0
87,0
88,0
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
99,2
99,3
100,3
101,3
102,3
103,3
104,3
105,3
105,4
106,4
107,4
108,4
109,4
110,4
111,4
111,5
112,5
113,5
114,5
115,5
116,5
117,5
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,-1
