frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,-1
31,-1
32,-1
33,-1
34,-1
35,-1
36,-1
37,-1
38,-1
39,-1
40,-1
41,-1
42,-1
43,-1
44,-1
45,-1
46,-1
47,-1
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
72,4
73,4
74,4
75,4
76,4
77,4
78,4
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
85,0
86,0
87,0
88,0
89,0
90,0
91,0
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
101,2
102,2
103,2
104,2
104,3
105,3
106,3
107,3
108,3
109,3
109,4
110,4
111,4
112,4
113,4
114,4
115,4
115,5
116,5
117,5
118,5
119,5
120,5
121,5
121,0
122,0
123,0
124,0
125,0
126,0
127,0
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
138,2
139,2
140,2
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
147,4
148,4
149,4
150,4
151,4
152,4
152,5
153,5
154,5
155,5
156,5
157,5
158,5
159,5
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
177,2
178,2
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,-1
