frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
32,0
33,0
34,0
35,0
36,0
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
45,2
46,2
47,2
47,3
48,3
49,3
50,3
51,3
51,4
52,4
53,4
54,4
55,4
55,5
56,5
57,5
58,5
59,5
60,5
61,5
61,0
62,0
63,0
64,0
65,0
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
75,2
76,2
77,2
77,3
78,3
79,3
80,3
81,3
81,4
82,4
83,4
84,4
85,4
86,4
86,5
87,5
88,5
89,5
90,5
91,5
92,5
92,0
93,0
94,0
95,0
96,0
97,0
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
107,2
108,2
109,2
109,3
110,3
111,3
112,3
113,3
114,3
114,4
115,4
116,4
117,4
118,4
119,4
120,-1
