frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,-1
31,-1
37,2
38,2
39,2
39,3
40,3
41,3
42,3
43,3
44,3
44,4
45,4
46,4
47,4
48,4
49,4
50,4
57,0
58,0
59,0
60,0
61,0
62,0
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
70,2
71,2
72,2
73,2
74,2
75,2
75,3
76,3
77,3
78,3
79,3
79,4
80,4
81,4
82,4
83,4
84,4
85,4
92,0
93,0
94,0
95,0
96,0
97,0
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
105,2
106,2
107,2
108,2
109,2
109,3
110,3
111,3
112,3
113,3
114,3
114,4
115,4
116,4
117,4
118,4
119,4
120,-1
