frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,-1
31,-1
39,0
40,0
41,0
42,0
43,0
44,0
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
56,2
57,2
57,3
58,3
59,3
60,3
61,3
62,3
62,4
63,4
64,4
65,4
66,4
67,4
68,4
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,5
75,0
76,0
77,0
78,0
79,0
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
89,2
90,2
91,2
92,2
92,3
93,3
94,3
95,3
96,3
97,3
97,4
98,4
99,4
100,4
101,4
102,4
102,5
103,5
104,5
105,5
106,5
107,5
108,5
109,5
109,0
110,0
111,0
112,0
113,0
114,0
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,-1
