,frame_idx,label
0,0,-1
1,1,-1
2,2,-1
3,3,-1
4,4,-1
5,5,-1
6,6,-1
7,7,-1
8,8,-1
9,9,-1
10,10,-1
11,11,-1
12,12,-1
13,13,-1
14,14,-1
15,15,-1
16,16,-1
17,17,-1
18,18,-1
19,19,-1
20,20,-1
21,21,-1
22,22,-1
23,23,-1
24,24,-1
25,25,-1
26,26,-1
27,27,-1
28,28,-1
29,29,-1
30,30,-1
31,31,-1
32,32,-1
33,33,-1
34,34,-1
35,35,-1
36,36,-1
37,37,-1
38,38,-1
39,39,-1
40,40,-1
41,41,-1
42,42,-1
43,43,-1
44,44,-1
45,45,-1
46,46,-1
47,47,-1
48,48,-1
49,49,-1
50,50,-1
51,51,-1
52,52,-1
53,53,-1
54,54,-1
55,55,-1
56,56,-1
57,57,-1
58,58,-1
59,59,-1
60,60,-1
61,61,-1
62,62,0
63,63,0
64,64,0
65,65,0
66,66,0
67,67,1
68,68,1
69,69,1
70,70,1
71,71,1
72,72,1
73,73,1
74,74,1
75,75,1
76,76,1
77,77,2
78,78,2
79,79,3
80,80,3
81,81,3
82,82,3
83,83,3
84,84,4
85,85,4
86,86,4
87,87,4
88,88,4
89,89,5
90,90,5
91,91,5
92,92,5
93,93,5
94,94,5
95,95,5
96,96,5
97,97,0
98,98,0
99,99,0
100,100,1
101,101,1
102,102,1
103,103,1
104,104,1
105,105,1
106,106,1
107,107,1
108,108,1
109,109,1
110,110,1
111,111,2
112,112,2
113,113,3
114,114,3
115,115,3
116,116,3
117,117,4
118,118,4
119,119,4
120,120,4
121,121,4
122,122,4
123,123,5
124,124,5
125,125,5
126,126,5
127,127,5
128,128,5
129,129,5
130,130,5
131,131,0
132,132,0
133,133,0
134,134,0
135,135,0
136,136,-1
137,137,-1
138,138,-1
139,139,-1
140,140,-1
141,141,-1
142,142,-1
143,143,-1
144,144,-1
145,145,-1
146,146,-1
147,147,-1
148,148,-1
149,149,-1
150,150,-1
151,151,-1
152,152,-1
153,153,-1
154,154,-1
155,155,-1
156,156,-1
157,157,-1
158,158,-1
159,159,-1
160,160,-1
