frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
25,0
26,0
27,0
28,0
29,0
30,0
31,0
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
42,2
42,3
43,3
44,3
45,3
46,3
47,3
48,3
48,4
49,4
50,4
51,4
52,4
53,4
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
60,0
61,0
62,0
63,0
64,0
65,0
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
73,2
74,2
75,2
76,2
76,3
77,3
78,3
79,3
80,3
80,4
81,4
82,4
83,4
84,4
85,4
85,5
86,5
87,5
88,5
89,5
90,5
91,5
91,0
92,0
93,0
94,0
95,0
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
105,2
106,2
107,2
108,2
108,3
109,3
110,3
111,3
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
118,5
119,5
120,5
121,5
122,5
123,5
124,5
124,0
125,0
126,0
127,0
128,0
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
138,2
139,2
140,2
140,3
141,3
142,3
143,3
144,3
145,3
145,4
146,4
147,4
148,4
149,4
150,4
151,4
152,4
153,4
154,-1
