frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
39,2
40,2
40,3
41,3
42,3
43,3
44,3
45,3
45,4
46,4
47,4
48,4
49,4
50,4
51,4
57,0
58,0
59,0
60,0
61,0
62,0
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
73,2
73,3
74,3
75,3
76,3
77,3
78,3
78,4
79,4
80,4
81,4
82,4
83,4
84,4
91,0
92,0
93,0
94,0
95,0
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
106,2
106,3
107,3
108,3
109,3
110,3
111,3
112,3
112,4
113,4
114,4
115,4
116,4
117,4
123,0
124,0
125,0
126,0
127,0
128,0
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
138,2
139,2
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
146,4
147,4
148,4
149,4
150,4
151,4
152,-1
