frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,3
26,3
26,4
27,4
28,4
29,4
30,4
31,4
32,4
32,5
33,5
34,5
35,5
36,5
37,5
38,5
39,5
40,5
40,0
41,0
42,0
43,0
44,0
45,0
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
56,2
57,2
57,3
58,3
59,3
60,3
61,3
62,3
62,4
63,4
64,4
65,4
66,4
67,4
67,5
68,5
69,5
70,5
71,5
72,5
73,5
73,0
74,0
75,0
76,0
77,0
78,0
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
90,2
91,2
91,3
92,3
93,3
94,3
95,3
95,4
96,4
97,4
98,4
99,4
100,4
100,5
101,5
102,5
103,5
104,5
105,5
106,5
106,0
107,0
108,0
109,0
110,0
111,0
112,0
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
122,2
123,2
123,3
124,3
125,3
126,3
127,3
128,3
128,4
129,4
130,4
131,4
132,4
133,4
134,4
134,5
135,5
136,5
137,5
138,5
139,5
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,-1
