frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
15,-1
16,-1
17,-1
18,-1
19,-1
20,-1
21,-1
22,-1
23,-1
24,-1
25,-1
26,-1
27,-1
28,-1
29,-1
30,-1
31,-1
32,-1
33,-1
34,-1
35,-1
36,-1
37,-1
38,-1
39,-1
40,-1
41,-1
42,-1
43,-1
44,-1
45,-1
46,-1
47,-1
48,-1
49,-1
50,-1
51,-1
52,-1
53,-1
54,-1
55,-1
56,-1
57,-1
58,-1
59,-1
60,-1
61,-1
62,-1
63,-1
64,-1
65,-1
66,-1
67,-1
68,-1
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
106,2
107,2
108,2
108,3
109,3
110,3
111,3
112,3
113,3
113,4
114,4
115,4
116,4
117,4
118,4
119,4
127,0
128,0
129,0
130,0
131,0
132,0
133,0
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
144,2
145,2
146,2
146,3
147,3
148,3
149,3
150,3
151,3
151,4
152,4
153,4
154,4
155,4
156,4
157,4
165,0
166,0
167,0
168,0
169,0
170,0
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
183,2
184,2
185,2
185,3
186,3
187,3
188,3
189,3
190,3
191,3
191,4
192,4
193,4
194,4
195,4
196,4
197,4
198,4
199,-1
