frame_idx,label
0,-1
1,-1
2,-1
3,-1
4,-1
5,-1
6,-1
7,-1
8,-1
9,-1
10,-1
11,-1
12,-1
13,-1
14,-1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
50,2
51,2
51,3
52,3
53,3
54,3
55,3
56,3
56,4
57,4
58,4
59,4
60,4
61,4
68,0
69,0
70,0
71,0
72,0
73,0
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
84,2
85,2
85,3
86,3
87,3
88,3
89,3
89,4
90,4
91,4
92,4
93,4
94,4
102,0
103,0
104,0
105,0
106,0
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
116,2
117,2
117,3
118,3
119,3
120,3
121,3
122,3
122,4
123,4
124,4
125,4
126,4
127,4
134,0
135,0
136,0
137,0
138,0
139,0
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
149,2
150,2
151,2
152,2
152,3
153,3
154,3
155,3
156,3
157,3
157,4
158,4
159,4
160,4
161,4
162,-1
