frame_idx,label
0,-1
1,-1
2,-1
3,-1
10,2
11,2
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
18,4
19,4
20,4
21,4
22,4
23,4
24,4
32,0
33,0
34,0
35,0
36,0
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
45,2
46,2
47,2
48,2
49,2
49,3
50,3
51,3
52,3
53,3
53,4
54,4
55,4
56,4
57,4
58,4
59,4
66,0
67,0
68,0
69,0
70,0
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
79,2
80,2
81,2
82,2
82,3
83,3
84,3
85,3
86,3
87,3
87,4
88,4
89,4
90,4
91,4
92,4
100,0
101,0
102,0
103,0
104,0
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
115,2
116,2
116,3
117,3
118,3
119,3
120,3
121,3
121,4
122,4
123,4
124,4
125,4
126,-1
